Feature,Importance
ST_Slope,0.2509601356580676
ChestPainType,0.12387274109769235
Cholesterol,0.10974078533131823
MaxHR,0.10765804527937108
Oldpeak,0.10345070108259669
ExerciseAngina,0.08762398089313553
Age,0.0758153156552591
RestingBP,0.0654909095748092
Sex,0.03022357480067187
FastingBS,0.023508315120570205
RestingECG,0.0216554955065083
